,ID,Museum,Website,City,State,ZIP Code,General Admission,Median Income,Monthly Median Income,Index
77,83,Ukrainian Institute of Modern Art,uima-chicago.org,Chicago,Illinois,60622,10.0,119134.0,9927.8,10.1
75,81,National Veterans Art Museum,nvam.org,Chicago,Illinois,60622,10.0,119134.0,9927.8,10.1
116,122,"Institute of Contemporary Art, Boston",icaboston.org,Boston,Massachusetts,2210,15.0,179643.0,14970.2,10.0
288,295,The Contemorary Austin,thecontemporaryaustin.org,Austin,Texas,78701,12.0,148049.0,12337.4,9.7
91,97,Birger Sandzen Memorial Gallery,sandzen.org,Lindsborg,Kansas,67410,5.0,61563.0,5130.2,9.7
344,353,Kreeger Museum,kreegermuseum.org,Washington,District of Columbia,20008,10.0,123134.0,10261.2,9.7
219,225,Parrish Art Museum,parrishart.org,Southampton,New York,11976,15.0,185000.0,15416.7,9.7
206,212,Asia Society,asiasociety.org,New York,New York,10021,12.0,149432.0,12452.7,9.6
229,236,Contemporary Art Museum of Raleigh,camraleigh.org,Raleigh,North Carolina,27601,5.0,63218.0,5268.2,9.5
123,129,Museum of Russian Icons,museumofrussianicons.org,Clinton,Massachusetts,1545,10.0,127088.0,10590.7,9.4
281,288,Dixon Gallery and Gardens,dixon.org,Memphis,Tennessee,38117,7.0,91680.0,7640.0,9.2
131,137,DeCordova Museum and Sculpture Park,thetrustees.org/place/decordova,Lincoln,Massachusetts,1742,14.0,183657.0,15304.8,9.1
160,166,Holter Museum of Art,holtermuseum.org,Helena,Montana,59601,5.0,65696.0,5474.7,9.1
129,135,Fruitlands Museum,thetrustees.org/place/fruitlands,Harvard,Massachusetts,1451,15.0,199191.0,16599.2,9.0
68,74,Art Museum of Eastern Idaho,theartmuseum.org,Idaho Falls,Idaho,83402,5.0,69153.0,5762.8,8.7
205,211,Dahesh Museum of Art,daheshmuseum.org,New York,New York,10017,10.0,139964.0,11663.7,8.6
323,332,Brigham City Museum of Art & History,brighamcitymuseum.org,Brigham City,Utah,84302,5.0,72407.0,6033.9,8.3
226,232,Mint Museum of Art,mintmuseum.org,Charlotte,North Carolina,28207,15.0,217656.0,18138.0,8.3
341,350,Dumbarton Oaks,doaks.org,Washington,District of Columbia,20007,10.0,145048.0,12087.3,8.3
266,273,Toonseum,toonseum.org,Pittsburgh,Pennsylvania,15222,8.0,115298.0,9608.2,8.3
291,299,Mexic-Arte Museum,mexic-artemuseum.org,Austin,Texas,78701,10.0,148049.0,12337.4,8.1
280,287,Belz Museum of Asian and Judaic Art,belzmuseum.org,Memphis,Tennessee,38103,6.0,89851.0,7487.6,8.0
297,306,Meadows Museum,meadowsmuseumdallas.org,Dallas,Texas,75205,12.0,180698.0,15058.2,8.0
33,34,American Museum of Western Art,anschutzcollection.org,Denver,Colorado,80204,5.0,74993.0,6249.4,8.0
290,297,Elisabet Ney Museum,elisabetneymuseum.org,Austin,Texas,78751,5.0,75972.0,6331.0,7.9
194,200,Heckscher Museum of Art,heckscher.org,Huntington,New York,11743,10.0,164182.0,13681.8,7.3
118,124,Museum of Bad Art,museumofbadart.org,Boston,Massachusetts,2144,8.0,133627.0,11135.6,7.2
59,65,Charles Hosmer Morse Museum of American Art,morsemuseum.org,Winter Park,Florida,32789,6.0,101113.0,8426.1,7.1
100,106,Paul and Lulu Hilliard University Art Museum,hilliardmuseum.org,Lafayette,Louisiana,70503,5.0,90286.0,7523.8,6.6
165,171,Heritage Glass Museum,heritageglassmuseum.com,Glassboro,New Jersey,11772,5.0,103207.0,8600.6,5.8
314,323,Museum of Western Art,museumofwesternart.com,Kerrville,Texas,78025,1.0,64340.0,5361.7,1.9
145,151,Williams College Museum of Art,wcma.williams.edu,Williamstown,Massachusetts,1267,0.0,101823.0,8485.2,0.0
166,172,Mana Contemporary,manacontemporary.com,Jersey City,New Jersey,7306,0.0,74610.0,6217.5,0.0
